Feature,Importance
Total Length of Fwd Packets,0.0655571366488043
Bwd Header Length,0.05552713166901356
Init_Win_bytes_backward,0.05503132266352487
Fwd Packet Length Max,0.054421235415175864
Fwd IAT Std,0.04244940826644454
PacketRatio,0.03899354929502714
Fwd Packet Length Mean,0.035792342550079
Packet Length Mean,0.0356897144668399
ByteRatio,0.033647201738172726
Flow IAT Max,0.03075791246737978
Bwd Packet Length Max,0.030563675276656054
Flow Duration,0.029899597713093196
Fwd Header Length,0.02930711632790064
Fwd Packets/s,0.028992438486810636
Packet Length Variance,0.028252718495236327
act_data_pkt_fwd,0.028198678624691623
Max Packet Length,0.02771971865228041
Flow Packets/s,0.027053656048200383
Flow IAT Mean,0.02638812814692321
Init_Win_bytes_forward,0.024427670318112632
Bwd IAT Total,0.02328412762624973
Bwd IAT Min,0.02252599390186846
Flow IAT Std,0.021236603052208702
Bwd Packets/s,0.020894822300843243
Flow Bytes/s,0.020551391519436097
Bwd IAT Std,0.017686304665532074
Fwd IAT Min,0.01569231021971251
Flow IAT Min,0.0150677696351496
Total Fwd Packets,0.015058033168886183
min_seg_size_forward,0.014309254659622298
PSH Flag Count,0.013713540653172662
Bwd IAT Max,0.013562013437984412
Bwd IAT Mean,0.010756693131577682
Bwd Packet Length Min,0.010022790643932161
Min Packet Length,0.008334664818299595
Fwd Packet Length Min,0.006986213085443642
ACK Flag Count,0.005149898081987114
Active Min,0.004564934742267675
Fwd PSH Flags,0.0032704297557972087
Active Mean,0.0029061131140844416
Active Max,0.0020676171478653327
Down/Up Ratio,0.0015215237688702358
FIN Flag Count,0.0008231555059509105
Active Std,0.00046063847540786697
URG Flag Count,0.0004585390954766397
Idle Std,0.00042427052200664806
