Feature,Importance
Total Length of Fwd Packets,0.0881785365633761
Init_Win_bytes_backward,0.07782885312261158
PacketRatio,0.06463698374245212
Fwd Packet Length Max,0.06399953885079773
ByteRatio,0.06128410017174513
Packet Length Mean,0.06105175242908327
Fwd IAT Std,0.057457543514272416
Flow Duration,0.0558521468921923
Flow IAT Max,0.051963580348840584
Fwd Packet Length Mean,0.048522199575012116
Init_Win_bytes_forward,0.04619632301814308
Bwd IAT Std,0.0409732158203163
Packet Length Variance,0.03821690713616174
Flow IAT Std,0.037606128402800844
Fwd Packets/s,0.036279955374887096
Bwd Packet Length Max,0.036188877683431195
Flow IAT Mean,0.03471921643054985
Bwd Packets/s,0.034028779263367816
Max Packet Length,0.033836895047581105
Flow Packets/s,0.031178466612377564
