Feature,Importance
Packet Length Variance,0.102784743986093
Bwd Packet Length Max,0.09675177043045012
Max Packet Length,0.08923235147709753
Packet Length Mean,0.07617905799988975
Fwd Packet Length Max,0.07356377106392985
Total Length of Fwd Packets,0.07157360852036367
Fwd Packet Length Mean,0.06947305755732033
PacketRatio,0.05797539106458493
ByteRatio,0.057594610132507544
Init_Win_bytes_backward,0.04712572611316326
Fwd IAT Std,0.045611984379907614
Flow IAT Max,0.03840282584367853
Bwd Packets/s,0.033566918059934496
Init_Win_bytes_forward,0.030052686061979663
Flow IAT Std,0.026695297420649525
Fwd Packets/s,0.019169254945947362
Flow Packets/s,0.019115421619568036
Flow IAT Mean,0.01899367260665867
Flow Duration,0.016727832072444174
Bwd IAT Std,0.00941001864383186
