,precision,recall,f1-score,support
Benign,0.9999426835559122,0.9979930686980689,0.9989669248956785,209773.0
Bot,0.6254295532646048,0.9891304347826086,0.7663157894736842,184.0
BruteForce,1.0,0.9984962406015038,0.999247554552295,1330.0
DDoS,0.9999478813780164,0.9998436604304549,0.9998957681884512,19189.0
DoS,0.9977116704805492,0.9982739793582022,0.9979927457125752,28389.0
Other,1.0,0.7142857142857143,0.8333333333333334,7.0
PortScan,0.7877697841726619,0.9864864864864865,0.876,222.0
WebAttack,0.5567970204841713,0.9933554817275747,0.7136038186157518,301.0
accuracy,0.9981341197787159,0.9981341197787159,0.9981341197787159,0.9981341197787159
macro avg,0.8709498241669895,0.9597331332963267,0.8981694918464712,259395.0
weighted avg,0.9987377277883622,0.9981341197787159,0.9983245865398254,259395.0
