,precision,recall,f1-score,support
Benign,0.9998660049865287,0.996005205627035,0.9979318711550953,209773.0
Bot,0.6254295532646048,0.9891304347826086,0.7663157894736842,184.0
BruteForce,1.0,0.9969924812030075,0.9984939759036144,1330.0
DDoS,0.9998436441340491,0.9997394340507583,0.9997915363769022,19189.0
DoS,0.9979597579850851,0.9993307266899151,0.9986447718112537,28389.0
Other,1.0,0.5714285714285714,0.7272727272727273,7.0
PortScan,0.9688888888888889,0.9819819819819819,0.9753914988814317,222.0
WebAttack,0.30690010298661174,0.9900332225913622,0.46855345911949686,301.0
accuracy,0.9966152007556044,0.9966152007556044,0.9966152007556044,0.9966152007556044
macro avg,0.8623609940307211,0.9405802572944051,0.8665494537492757,259395.0
weighted avg,0.99856018821835,0.9966152007556044,0.9973451690763369,259395.0
