Feature,MI_Score
Packet Length Mean,1.5551564461227019
Average Packet Size,1.5439183789723574
Total Length of Fwd Packets,1.435663942481439
Subflow Fwd Bytes,1.4341719357117109
Packet Length Std,1.417233885947548
Packet Length Variance,1.4145093182554842
Max Packet Length,1.4049829275723074
Init_Win_bytes_backward,1.3737937053326814
Fwd Packet Length Max,1.3698229565793316
Bwd Header Length,1.3461881359731807
Fwd IAT Max,1.3359763538773706
Subflow Bwd Bytes,1.3131824065814488
Fwd Header Length,1.3128519862147736
Total Length of Bwd Packets,1.3121145230584697
Fwd Header Length.1,1.3112145049204527
Avg Fwd Segment Size,1.3024624280279258
Flow IAT Max,1.2998714934120974
Fwd Packet Length Mean,1.2984294441859126
Bwd Packets/s,1.297194020738854
Avg Bwd Segment Size,1.2883599099285044
Bwd Packet Length Mean,1.287269014597026
Bwd Packet Length Max,1.258027664441065
Flow Duration,1.2352566930466797
Fwd IAT Mean,1.2330611039837232
Flow Packets/s,1.2047717245503975
Fwd IAT Total,1.2004114193819193
Flow IAT Mean,1.1898564657550232
Flow Bytes/s,1.1825547505822631
Flow IAT Std,1.1816237286456435
Fwd Packets/s,1.1806662375382135
Fwd Packet Length Std,1.1467446679693443
Init_Win_bytes_forward,1.1120907038373988
Fwd IAT Std,1.1017786448726374
Destination Port,1.0738711476772127
Bwd IAT Max,1.0638050914454933
Total Backward Packets,1.0459053785444041
Subflow Bwd Packets,1.0450023690561725
Bwd Packet Length Std,1.0285091718721033
Bwd IAT Total,1.0211766374129123
Bwd IAT Mean,0.9549201941439276
Bwd IAT Std,0.7728558199895201
act_data_pkt_fwd,0.7566623078492918
Subflow Fwd Packets,0.7431255639307945
Total Fwd Packets,0.7414250997090077
Fwd IAT Min,0.6845768805837711
Bwd IAT Min,0.6774980007562807
Idle Max,0.4905337066941087
Flow IAT Min,0.4840392905238997
Idle Mean,0.479090446012596
Idle Min,0.4765318174448838
min_seg_size_forward,0.45006581289147674
Active Mean,0.41440927392471183
Active Min,0.41340659348066744
Active Max,0.4095549726864358
Min Packet Length,0.34115680709557594
Fwd Packet Length Min,0.3204062428719743
Bwd Packet Length Min,0.3050038375899269
PSH Flag Count,0.20947195015413067
Down/Up Ratio,0.14400752132568018
ACK Flag Count,0.1277845046879622
FIN Flag Count,0.10597173522145553
Idle Std,0.0798551245835264
Fwd PSH Flags,0.05835735065852132
SYN Flag Count,0.05688197125998906
Active Std,0.045501384906703635
URG Flag Count,0.011306379322994609
Bwd URG Flags,0.0057034640973006034
Fwd Avg Bytes/Bulk,0.004658608227489314
Bwd Avg Bytes/Bulk,0.002758596932781021
CWE Flag Count,0.0020342433799056536
Fwd Avg Bulk Rate,0.0011036324190620839
Bwd Avg Bulk Rate,0.0006839885156186831
ECE Flag Count,0.0006569800755560351
Fwd URG Flags,0.00047725389154473774
RST Flag Count,0.00022824574406676845
Bwd Avg Packets/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Bwd PSH Flags,0.0
