Feature,F_Statistic,p_value
Init_Win_bytes_backward,6506.445076874229,0.0
Idle Mean,4970.542251710333,0.0
Idle Min,4913.335067360797,0.0
Fwd IAT Std,4858.025033468868,0.0
Idle Max,4584.272710973589,0.0
Flow IAT Max,4421.292084772091,0.0
Fwd IAT Max,4403.584165925318,0.0
Avg Bwd Segment Size,4229.328108698717,0.0
Bwd Packet Length Mean,4229.328108698717,0.0
Packet Length Mean,3507.8396677631126,0.0
Bwd Packet Length Max,3502.5518410130667,0.0
Average Packet Size,3471.7589921323183,0.0
Packet Length Std,3391.350186384354,0.0
Bwd Packet Length Std,3334.8047489844475,0.0
Flow IAT Std,3289.427177060631,0.0
min_seg_size_forward,3181.2314989787988,0.0
Max Packet Length,3055.59092179605,0.0
Fwd IAT Total,2928.420069977122,0.0
Flow Duration,2884.1174602740093,0.0
Subflow Fwd Packets,2277.6732473501565,0.0
Total Fwd Packets,2277.6732473501565,0.0
Init_Win_bytes_forward,2261.9982381180007,0.0
Fwd Header Length,2253.351312209527,0.0
Fwd Header Length.1,2253.351312209527,0.0
Bwd Header Length,2206.6021465527438,0.0
Packet Length Variance,2056.5667760692218,0.0
Total Backward Packets,1975.7506612506868,0.0
Subflow Bwd Packets,1975.7506612506868,0.0
PSH Flag Count,1850.6184638948478,0.0
Min Packet Length,1762.89176572164,0.0
Flow IAT Mean,1507.4330601583633,0.0
Bwd Packet Length Min,1259.2517143023088,0.0
FIN Flag Count,1213.5942627483057,0.0
Fwd IAT Mean,1026.0205058258157,0.0
ACK Flag Count,996.745118126259,0.0
Total Length of Bwd Packets,972.9757112583166,0.0
Subflow Bwd Bytes,972.9757112583166,0.0
act_data_pkt_fwd,866.9563710131172,0.0
Bwd IAT Std,783.9292319644734,0.0
Bwd IAT Max,696.562396330046,0.0
Subflow Fwd Bytes,688.5840981075334,0.0
Total Length of Fwd Packets,688.5840981075334,0.0
Fwd PSH Flags,545.441350471388,0.0
SYN Flag Count,545.441350471388,0.0
Bwd IAT Total,515.1826449814522,0.0
Destination Port,453.08230880786897,0.0
Down/Up Ratio,426.743916047754,0.0
Fwd Packet Length Min,336.96526243845256,0.0
Bwd IAT Mean,278.3800707714292,0.0
Fwd Packet Length Std,203.2549651283055,1.4111468415948455e-294
Bwd IAT Min,195.38516735083937,2.710442951202448e-283
Fwd IAT Min,185.68216946195216,2.3734897261992816e-269
Fwd Packet Length Max,184.65900931675182,7.039424139449421e-268
Idle Std,173.27486497106742,1.788513970099998e-251
Active Max,171.6923377681633,3.4404522319788e-249
Active Mean,170.9152470959139,4.555601540164773e-248
Avg Fwd Segment Size,155.64186471972332,5.660643495181813e-226
Fwd Packet Length Mean,155.64186471972332,5.660643495181813e-226
Active Min,122.69833355193083,4.8318351564529564e-178
URG Flag Count,106.29652556979646,4.8181220015775914e-154
Active Std,100.44961493836196,1.8130089532944433e-145
Flow Bytes/s,78.11749832493965,1.266299951283518e-112
Flow IAT Min,55.75706916208537,1.2644841111772903e-79
Flow Packets/s,42.55856984708859,3.994040711919382e-60
Bwd Packets/s,39.0834423536068,5.403130785717387e-55
Fwd Packets/s,31.198449033201726,2.2903362731167015e-43
RST Flag Count,0.5644733396432046,0.7853582136172386
ECE Flag Count,0.5644733396432046,0.7853582136172386
Bwd PSH Flags,,
Fwd URG Flags,,
Bwd URG Flags,,
CWE Flag Count,,
Fwd Avg Bytes/Bulk,,
Fwd Avg Packets/Bulk,,
Fwd Avg Bulk Rate,,
Bwd Avg Bytes/Bulk,,
Bwd Avg Packets/Bulk,,
Bwd Avg Bulk Rate,,
