Feature,MI_Score,F_Statistic,Spearman_Corr,MI_Norm,ANOVA_Norm,Corr_Norm,Consensus_Score
Init_Win_bytes_backward,1.3737937053326814,6506.445076874229,0.1994335985793222,0.8833797453354664,1.0,0.1994335985793222,0.6942711146382629
Fwd IAT Max,1.3359763538773706,4403.584165925318,0.40113563066568125,0.8590623517062939,0.6768034024565763,0.40113563066568125,0.6456671282761838
Flow IAT Max,1.2998714934120974,4421.292084772091,0.4065313390576424,0.8358461276696129,0.6795249990638714,0.4065313390576424,0.6406341552637088
Fwd IAT Std,1.1017786448726374,4858.025033468868,0.43261178525780275,0.7084680435975295,0.7466481275213837,0.43261178525780275,0.629242652125572
Packet Length Mean,1.5551564461227019,3507.8396677631126,0.343779258256168,1.0,0.5391330636496081,0.343779258256168,0.6276374406352587
Average Packet Size,1.5439183789723574,3471.7589921323183,0.3452859652511331,0.9927736741995552,0.533587688993479,0.3452859652511331,0.6238824428147224
Avg Bwd Segment Size,1.2883599099285044,4229.328108698717,0.33916976653132797,0.8284439248158141,0.6500213340355337,0.33916976653132797,0.6058783417942253
Bwd Packet Length Mean,1.287269014597026,4229.328108698717,0.33916976653132797,0.8277424549835036,0.6500213340355337,0.33916976653132797,0.6056445185167885
Packet Length Std,1.417233885947548,3391.350186384354,0.3516461308265752,0.9113127425095906,0.521229357401046,0.3516461308265752,0.5947294102457373
Max Packet Length,1.4049829275723074,3055.59092179605,0.35123679491622994,0.9034351052430735,0.46962525398953975,0.35123679491622994,0.5747657180496143
Bwd Packet Length Max,1.258027664441065,3502.5518410130667,0.34526897785426586,0.8089396199189895,0.5383203576807465,0.34526897785426586,0.5641763184846673
Flow IAT Std,1.1816237286456435,3289.427177060631,0.4047744633025576,0.7598101988977727,0.5055644269944272,0.4047744633025576,0.5567163630649191
Bwd Packet Length Std,1.0285091718721033,3334.8047489844475,0.48041215530405984,0.6613541514979863,0.5125386765865895,0.48041215530405984,0.5514349944628786
Flow Duration,1.2352566930466797,2884.1174602740093,0.34028715033455265,0.7942973815440931,0.44327085316142756,0.34028715033455265,0.5259517950133578
Packet Length Variance,1.4145093182554842,2056.5667760692218,0.35164652128388324,0.9095607852072519,0.3160814779454375,0.35164652128388324,0.5257629281455243
